DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum Colors
COLOR	#ff0000
STRIP_WIDTH	25
MARGIN	5
BORDER_WIDTH	1
BORDER_COLOR	#000000
LEGEND_TITLE	Phyla
LEGEND_SHAPES	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS	#1f77b4,#aec7e8,#ff7f0e,#ffbb78,#2ca02c,#98df8a,#d62728,#ff9896,#9467bd,#c5b0d5,#8c564b,#c49c94,#e377c2,#f7b6d2,#7f7f7f,#c7c7c7,#bcbd22,#dbdb8d,#17becf,#9edae5
LEGEND_LABELS	Bacteroidota,Pseudomonadota,Bacillota_A,Actinomycetota,Spirochaetota,Verrucomicrobiota,Bacillota_C,Bacillota,Cyanobacteriota,Elusimicrobiota,Methanobacteriota,Desulfobacterota,Campylobacterota,Fibrobacterota,Myxococcota,Thermoplasmatota,Eremiobacterota,Bacillota_B,Planctomycetota,Fusobacteriota
DATA
ERR7746440_bin.56	#1f77b4
ERR7738594_bin.47	#2ca02c
SRR17643662_bin.8	#1f77b4
SRR17643467_bin.2	#ff7f0e
SRR1761697_bin.23	#1f77b4
SRR17643474_bin.39	#ff7f0e
ERR7746440_bin.72	#ff7f0e
SRR17643933_bin.18	#1f77b4
SRR1761717_bin.16	#2ca02c
ERR7745836_bin.45	#1f77b4
ERR7738616_bin.34	#1f77b4
SRR17643504_bin.9	#1f77b4
ERR7738158_bin.20	#1f77b4
ERR7738143_bin.20	#1f77b4
ERR7738611_bin.61	#1f77b4
ERR7738276_bin.60	#ff7f0e
ERR7738549_bin.57	#1f77b4
SRR17643507_bin.7	#ff7f0e
ERR7738185_bin.11	#1f77b4
SRR1761696_bin.22	#1f77b4
SRR17643478_bin.21	#1f77b4
ERR7738515_bin.26	#1f77b4
ERR7738276_bin.6	#1f77b4
SRR17643462_bin.9	#ff7f0e
ERR7746440_bin.19	#98df8a
SRR17643507_bin.13	#ff7f0e
SRR17643458_bin.24	#aec7e8
ERR7738612_bin.96	#1f77b4
SRR17643938_bin.2	#1f77b4
ERR7738611_bin.19	#1f77b4
ERR7738353_bin.30	#ff7f0e
SRR17643919_bin.30	#ff7f0e
SRR1761679_bin.28	#ff7f0e
SRR17643809_bin.5	#ff7f0e
SRR1761721_bin.16	#ff7f0e
SRR17643467_bin.18	#ff7f0e
ERR7738196_bin.7	#1f77b4
SRR17643913_bin.19	#1f77b4
ERR7738182_bin.22	#1f77b4
ERR7738276_bin.34	#ff7f0e
SRR1761695_bin.19	#ff7f0e
SRR1761686_bin.8	#ff7f0e
ERR7738562_bin.1	#ff7f0e
ERR7738514_bin.107	#ff7f0e
ERR7738545_bin.31	#aec7e8
ERR7738937_bin.22	#1f77b4
SRR1761688_bin.7	#ff7f0e
ERR7738612_bin.103	#1f77b4
SRR1761704_bin.14	#ff7f0e
ERR7738937_bin.9	#1f77b4
SRR1761703_bin.12	#1f77b4
ERR7738545_bin.55	#1f77b4
ERR7738547_bin.3	#1f77b4
SRR17643504_bin.12	#ff7f0e
ERR7738514_bin.20	#ffbb78
ERR11604935_bin.1	#ff7f0e
SRR1761720_bin.12	#ff7f0e
SRR17643794_bin.13	#ff7f0e
ERR7738515_bin.42	#ff7f0e
ERR7738547_bin.56	#ff7f0e
ERR7745787_bin.106	#ff7f0e
ERR7738580_bin.111	#1f77b4
SRR1761686_bin.2	#1f77b4
SRR1761699_bin.30	#ff7f0e
ERR11604942_bin.6	#98df8a
ERR7738616_bin.15	#2ca02c
SRR1761718_bin.12	#ff7f0e
SRR17643804_bin.15	#ff7f0e
ERR7738196_bin.6	#1f77b4
ERR11604934_bin.12	#aec7e8
ERR7738558_bin.89	#1f77b4
ERR7738143_bin.9	#98df8a
SRR1761684_bin.3	#ff7f0e
SRR17643479_bin.14	#ff7f0e
ERR7738514_bin.103	#ff7f0e
ERR7738549_bin.34	#1f77b4
ERR7746398_bin.71	#1f77b4
SRR1761705_bin.10	#ff7f0e
ERR7738158_bin.23	#ff7f0e
SRR1761689_bin.13	#ff7f0e
SRR1761712_bin.21	#ff7f0e
SRR1761698_bin.3	#1f77b4
ERR7738580_bin.34	#1f77b4
