;Genome;original_bin;phylum;class;order;family;genus;species
896;MGYG000001071;ERR7745787_bin.80;Verrucomicrobiota;Lentisphaeria;Victivallales;UBA1829;UBA11452;UBA11452 sp934661375
897;MGYG000000204;ERR7738215_bin.46;Bacillota_A;Clostridia;UBA1381;UBA1381;RGIG1988;RGIG1988 sp934462715
898;MGYG000001563;SRR17643938_bin.25;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Duodenibacillus;Duodenibacillus sp900544255
899;MGYG000000756;ERR7738620_bin.1;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003524945
900;MGYG000000197;ERR7738215_bin.14;Actinomycetota;Coriobacteriia;Coriobacteriales;QAMH01;W2P13-069;W2P13-069 sp934646835
901;MGYG000000034;ERR11604940_bin.18;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp003481705
902;MGYG000000600;ERR7738604_bin.56;Bacillota_A;Clostridia;Oscillospirales;CAG-382;UMGS1052;UMGS1052 sp900548115
903;MGYG000000669;ERR7738611_bin.154;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1781;UMGS1781 sp900554635
904;MGYG000001315;SRR1761707_bin.29;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873;CAG-873 sp900540625
905;MGYG000000743;ERR7738616_bin.45;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488;CAG-488 sp900554995
906;MGYG000001318;SRR1761708_bin.13;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1224;UMGS1224 sp900549775
907;MGYG000000698;ERR7738612_bin.108;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor sp934402375
908;MGYG000000230;ERR7738253_bin.130;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp900553115
909;MGYG000001230;SRR1761691_bin.21;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens_P
910;MGYG000001100;ERR7745831_bin.3;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp900542875
911;MGYG000000596;ERR7738604_bin.41;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-632;CAG-632 sp002406015
912;MGYG000000064;ERR11604949_bin.21;Verrucomicrobiota;Kiritimatiellia;RFP12;UBA1067;UBA1067;UBA1067 sp934621385
913;MGYG000001149;ERR7746440_bin.75;Bacillota;Bacilli;RF39;UBA660;CAG-914;CAG-914 sp000437895
914;MGYG000001064;ERR7745787_bin.5;Bacillota;Bacilli;RF39;UBA660;Onthocola_B;Onthocola_B sp000438075
915;MGYG000001546;SRR17643924_bin.3;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;Negativibacillus sp000435195
916;MGYG000000048;ERR11604943_bin.3;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488;CAG-488 sp000434055
917;MGYG000000654;ERR7738608_bin.88;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;CAKQKQ01;CAKQKQ01 sp934247935
918;MGYG000000376;ERR7738545_bin.51;Bacillota;Bacilli;RF39;UBA660;UBA3789;UBA3789 sp934140575
919;MGYG000001338;SRR1761713_bin.13;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1933;UMGS1933 sp900772235
920;MGYG000001084;ERR7745819_bin.28;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111;Zag111 sp934692625
921;MGYG000001319;SRR1761708_bin.15;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;UMGS973;UMGS973 sp900547295
922;MGYG000001587;SRR17644085_bin.21;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000436835
923;MGYG000001171;SRR1761679_bin.17;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp900542825
924;MGYG000000236;ERR7738253_bin.30;Bacillota;Bacilli;Acholeplasmatales;Anaeroplasmataceae;Anaeroplasma;Anaeroplasma sp934229785
925;MGYG000000136;ERR7738166_bin.37;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-273;CAG-273 sp000437855
926;MGYG000000431;ERR7738553_bin.109;Bacillota;Bacilli;RF39;UBA660;UMGS2068;UMGS2068 sp900769635
927;MGYG000001176;SRR1761680_bin.11;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_A;Clostridium_A leptum
928;MGYG000000198;ERR7738215_bin.2;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-632;CAG-632 sp900539185
929;MGYG000001285;SRR1761702_bin.32;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1901;UMGS1901 sp900556135
930;MGYG000001109;ERR7745836_bin.2;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp900552085
931;MGYG000001313;SRR1761707_bin.25;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp900539165
932;MGYG000000490;ERR7738578_bin.101;Bacillota_A;Clostridia;UBA1381;UBA1381;CAG-41;CAG-41 sp900066215
933;MGYG000001259;SRR1761698_bin.5;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1663;UMGS1663 sp900553405
934;MGYG000000103;ERR7738158_bin.21;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp934591895
935;MGYG000000829;ERR7738624_bin.146;Bacillota_A;Clostridia;Lachnospirales;CAG-274;Gallispira;Gallispira sp900551755
936;MGYG000000294;ERR7738514_bin.17;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-245;CAG-245 sp900761475
937;MGYG000000961;ERR7738630_bin.86;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-724;CAG-724 sp003524145
938;MGYG000000552;ERR7738594_bin.49;Bacillota_A;Clostridia;Christensenellales;UBA1242;Caccovivens;Caccovivens sp003522085
939;MGYG000000347;ERR7738537_bin.146;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS1696;UMGS1696 sp934433485
940;MGYG000000803;ERR7738622_bin.30;Bacillota_A;Clostridia;Oscillospirales;CAG-382;UMGS1387;UMGS1387 sp934446675
941;MGYG000000295;ERR7738514_bin.2;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor sp900755865
942;MGYG000000045;ERR11604942_bin.5;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;UBA71;UBA71 sp006954465
943;MGYG000000099;ERR7738158_bin.15;Bacillota_A;Clostridia;Monoglobales;Monoglobaceae;Ructibacterium;Ructibacterium sp905205855
944;MGYG000000744;ERR7738616_bin.58;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281;UBA10281 sp900556195
945;MGYG000000856;ERR7738624_bin.62;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E sp003512525
946;MGYG000000813;ERR7738622_bin.69;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115;CAG-115 sp934448295
947;MGYG000001106;ERR7745836_bin.15;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;UBA1436;UBA1436 sp900540405
948;MGYG000000910;ERR7738630_bin.137;Bacillota_A;Clostridia;Christensenellales;CAG-314;Fimimonas;Fimimonas sp003537755
949;MGYG000000259;ERR7738267_bin.4;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira sp900545725
950;MGYG000001236;SRR1761693_bin.14;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000435995
951;MGYG000000333;ERR7738515_bin.8;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-245;CAG-245 sp934119935
952;MGYG000000859;ERR7738624_bin.80;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS902;UMGS902 sp934467415
953;MGYG000001068;ERR7745787_bin.74;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;JAFUYI01;JAFUYI01 sp900542055
954;MGYG000001307;SRR1761706_bin.7;Bacillota;Bacilli;Acholeplasmatales;Anaeroplasmataceae;CAG-307;CAG-307 sp001916215
955;MGYG000000631;ERR7738608_bin.20;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1487;UMGS1487 sp900552225
956;MGYG000000998;ERR7738937_bin.92;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900066385
957;MGYG000001281;SRR1761702_bin.17;Bacillota;Bacilli;RF39;UBA660;Coprovivens;Coprovivens sp900552975
958;MGYG000000258;ERR7738267_bin.39;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia;Stercorousia sp934692485
959;MGYG000000633;ERR7738608_bin.43;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11957;UBA11957 sp934394565
960;MGYG000000927;ERR7738630_bin.188;Bacillota;Bacilli;RFN20;CAG-826;CAG-826;CAG-826 sp000437235
961;MGYG000000265;ERR7738276_bin.3;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Turicimonas;Turicimonas muris
962;MGYG000000680;ERR7738611_bin.39;Bacillota_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium;Flemingibacterium sp934477985
