;Genome;original_bin;phylum;class;order;family;genus;species
398;MGYG000000766;ERR7738620_bin.37;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus sp900066115
399;MGYG000001481;SRR17643531_bin.9;Bacillota;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium sp000437715
400;MGYG000001069;ERR7745787_bin.75;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp900548765
401;MGYG000000345;ERR7738537_bin.14;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-353;CAG-353 sp900066885
402;MGYG000000969;ERR7738937_bin.24;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp003525905
403;MGYG000000823;ERR7738624_bin.134;Bacillota_A;Clostridia;Christensenellales;CAG-138;SFDB01;SFDB01 sp004558825
404;MGYG000000716;ERR7738612_bin.46;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;UBA4644;UBA4644 sp900555855
405;MGYG000001490;SRR17643790_bin.13;Bacillota_A;Clostridia;Christensenellales;CAG-138;RUG472;RUG472 sp900545265
406;MGYG000000166;ERR7738185_bin.14;Bacillota_A;Clostridia;Christensenellales;Pumilibacteraceae;UMGS1795;UMGS1795 sp900555125
407;MGYG000000755;ERR7738616_bin.9;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp900313295
408;MGYG000000886;ERR7738629_bin.75;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;
409;MGYG000000800;ERR7738622_bin.21;Bacteroidota;Bacteroidia;Bacteroidales;W3P20-009;W3P20-009;W3P20-009 sp934717675
410;MGYG000000429;ERR7738549_bin.61;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp000431375
411;MGYG000001393;SRR17643458_bin.15;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-103;CAG-103 sp900543625
412;MGYG000000623;ERR7738608_bin.140;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp004553545
413;MGYG000000276;ERR7738277_bin.39;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Duodenibacillus;Duodenibacillus sp900544255
414;MGYG000001398;SRR17643458_bin.23;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladousia;Choladousia sp902363135
415;MGYG000001502;SRR17643792_bin.36;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-273;CAG-273 sp003534295
416;MGYG000000399;ERR7738546_bin.76;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Limivivens;Limivivens sp900543575
417;MGYG000001025;ERR7745402_bin.24;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-632;CAG-632 sp000431515
418;MGYG000000781;ERR7738620_bin.9;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-269;CAG-269 sp003525075
419;MGYG000000274;ERR7738277_bin.13;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-448;CAG-448 sp003150135
420;MGYG000000538;ERR7738594_bin.110;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115;CAG-115 sp934462925
421;MGYG000000098;ERR7738158_bin.12;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;
422;MGYG000000651;ERR7738608_bin.8;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp934591725
423;MGYG000000435;ERR7738553_bin.19;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA6398;UBA6398 sp003150315
424;MGYG000001439;SRR17643478_bin.25;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis
425;MGYG000001237;SRR1761693_bin.23;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E sp900539195
426;MGYG000000467;ERR7738558_bin.64;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900546925
427;MGYG000000202;ERR7738215_bin.36;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003538135
428;MGYG000000071;ERR11604952_bin.12;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp934589705
429;MGYG000001328;SRR1761711_bin.14;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira sp900547255
430;MGYG000000758;ERR7738620_bin.11;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar
431;MGYG000001413;SRR17643462_bin.8;Bacillota;Bacilli;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus faecis
432;MGYG000001492;SRR17643790_bin.2;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp900545805
433;MGYG000000237;ERR7738253_bin.4;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Falcatimonas;Falcatimonas sp018918265
434;MGYG000000840;ERR7738624_bin.200;Spirochaetota;Spirochaetia;Sphaerochaetales;Sphaerochaetaceae;Ornithospirochaeta;Ornithospirochaeta sp002406055
435;MGYG000000659;ERR7738608_bin.98;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp003539495
436;MGYG000000753;ERR7738616_bin.78;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp934547065
437;MGYG000001535;SRR17643919_bin.9;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas coprocola
438;MGYG000001303;SRR1761705_bin.7;Bacillota_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;
439;MGYG000000031;ERR11604939_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter faecis
440;MGYG000001499;SRR17643792_bin.26;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp000435975
441;MGYG000000920;ERR7738630_bin.169;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Egerieousia;Egerieousia sp900544815
442;MGYG000000857;ERR7738624_bin.65;Bacillota;Bacilli;RF39;UBA660;CAG-628;CAG-628 sp900553835
443;MGYG000000768;ERR7738620_bin.45;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp900542315
444;MGYG000000175;ERR7738185_bin.38;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp934359755
445;MGYG000000877;ERR7738629_bin.45;Bacillota;Bacilli;RF39;UBA660;CAG-605;CAG-605 sp000433255
446;MGYG000001043;ERR7745596_bin.23;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000436835
447;MGYG000000763;ERR7738620_bin.33;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus_A
448;MGYG000001120;ERR7746398_bin.18;Bacillota;Bacilli;RF39;UBA660;UMGS1498;UMGS1498 sp900552335
449;MGYG000000687;ERR7738611_bin.74;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D sp934699065
450;MGYG000001351;SRR1761715_bin.19;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000436835
451;MGYG000000486;ERR7738562_bin.6;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia;Evtepia gabavorous
452;MGYG000000769;ERR7738620_bin.46;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium lactatiformans
453;MGYG000000614;ERR7738608_bin.111;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;ER4;ER4 sp934636865
454;MGYG000000863;ERR7738624_bin.9;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp002472405
455;MGYG000000974;ERR7738937_bin.36;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;Victivallis lenta
456;MGYG000000953;ERR7738630_bin.76;Pseudomonadota;Alphaproteobacteria;RF32;CAG-977;UBA2903;UBA2903 sp900768875
457;MGYG000001242;SRR1761695_bin.16;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium faecium
458;MGYG000000131;ERR7738166_bin.24;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sp900770445
459;MGYG000000700;ERR7738612_bin.115;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp934668295
460;MGYG000000187;ERR7738196_bin.31;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;UMGS1766;UMGS1766 sp900554855
461;MGYG000001508;SRR17643804_bin.25;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Paratractidigestivibacter;Paratractidigestivibacter faecalis
462;MGYG000000457;ERR7738558_bin.108;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS902;UMGS902 sp003343845
463;MGYG000000658;ERR7738608_bin.95;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;COE1;COE1 sp900753305
464;MGYG000000036;ERR11604940_bin.7;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp934591815
465;MGYG000000852;ERR7738624_bin.5;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;DTU089;DTU089 sp002440045
466;MGYG000000224;ERR7738253_bin.121;Bacillota_A;Clostridia;Oscillospirales;CAG-382;UBA1206;UBA1206 sp000433115
467;MGYG000000328;ERR7738515_bin.38;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;Scatocola;Scatocola faecipullorum
468;MGYG000000129;ERR7738166_bin.20;Spirochaetota;Brachyspirae;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira aalborgi
469;MGYG000000997;ERR7738937_bin.91;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes_A;Alistipes_A ihumii
470;MGYG000001257;SRR1761698_bin.21;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus sp900554415
471;MGYG000000069;ERR11604951_bin.4;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000434635
472;MGYG000000899;ERR7738630_bin.115;Bacillota_A;Clostridia;Oscillospirales;CAG-272;RGIG3994;RGIG3994 sp934378145
473;MGYG000000721;ERR7738612_bin.58;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp900549645
474;MGYG000000468;ERR7738558_bin.73;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;SFJ001;SFJ001 sp934513685
475;MGYG000001337;SRR1761713_bin.12;Bacillota;Bacilli;RF39;UBA660;CAG-302;CAG-302 sp900554615
476;MGYG000000418;ERR7738549_bin.20;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter sp003529475
477;MGYG000000815;ERR7738622_bin.75;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-791;CAG-791 sp000431495
478;MGYG000000225;ERR7738253_bin.122;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115;CAG-115 sp000432175
479;MGYG000000282;ERR7738353_bin.27;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp934204655
480;MGYG000000906;ERR7738630_bin.125;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;RUG806;RUG806 sp900313475
481;MGYG000001265;SRR1761699_bin.26;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873;CAG-873 sp900540625
482;MGYG000001341;SRR1761713_bin.20;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS911;UMGS911 sp900546695
483;MGYG000001287;SRR1761703_bin.10;Bacillota;Bacilli;RF39;UBA660;UBA6448;UBA6448 sp000437315
484;MGYG000000922;ERR7738630_bin.172;Bacillota;Bacilli;ML615J-28;CAG-313;UMGS75;UMGS75 sp934140285
485;MGYG000001462;SRR17643508_bin.13;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp900768435
486;MGYG000000822;ERR7738624_bin.124;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;UMGS973;UMGS973 sp900547295
487;MGYG000000530;ERR7738580_bin.75;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Limivicinus;Limivicinus sp900546515
488;MGYG000001038;ERR7745402_bin.89;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;VSOB01;VSOB01 sp934432885
489;MGYG000001582;SRR17643989_bin.10;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Schaedlerella;Schaedlerella sp900066545
490;MGYG000000608;ERR7738604_bin.9;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-45;CAG-45 sp900771955
491;MGYG000000896;ERR7738630_bin.112;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_M
492;MGYG000001213;SRR1761687_bin.26;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Wujia;Wujia sp900553925
493;MGYG000000802;ERR7738622_bin.28;Spirochaetota;Brachyspirae;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira aalborgi
494;MGYG000000663;ERR7738611_bin.109;Bacillota_A;Clostridia;Christensenellales;CAG-74;Limiplasma;Limiplasma sp004556545
495;MGYG000000270;ERR7738276_bin.59;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp900066145
496;MGYG000000732;ERR7738612_bin.90;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1781;UMGS1781 sp004554705
497;MGYG000001454;SRR17643504_bin.17;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_A
498;MGYG000000426;ERR7738549_bin.51;Bacillota_A;Clostridia;UBA1381;UBA1381;CAG-41;CAG-41 sp900066215
499;MGYG000000440;ERR7738553_bin.34;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp934277545
500;MGYG000000326;ERR7738515_bin.32;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp900552475
501;MGYG000000967;ERR7738937_bin.16;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus_A;Coprococcus_A catus
502;MGYG000000627;ERR7738608_bin.159;Verrucomicrobiota;Lentisphaeria;Victivallales;UBA1829;UBA1829;UBA1829 sp900549045
503;MGYG000001170;SRR1761678_bin.7;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-273;CAG-273 sp000435755
504;MGYG000000423;ERR7738549_bin.45;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum butyriciproducens
505;MGYG000000060;ERR11604948_bin.9;Bacillota_A;Clostridia;Christensenellales;CAG-917;CAG-349;CAG-349 sp003539515
506;MGYG000000113;ERR7738158_bin.60;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp900548085
507;MGYG000001321;SRR1761709_bin.10;Bacillota;Bacilli;RF39;UBA660;CAG-533;CAG-533 sp900551105
508;MGYG000000885;ERR7738629_bin.74;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp934229625
509;MGYG000000107;ERR7738158_bin.32;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp905209435
510;MGYG000000348;ERR7738537_bin.25;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;
511;MGYG000000668;ERR7738611_bin.151;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAJOIG01;CAJOIG01 sp934597255
512;MGYG000000776;ERR7738620_bin.70;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia anaerobia
513;MGYG000000617;ERR7738608_bin.121;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sp900772695
514;MGYG000001514;SRR17643913_bin.16;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas phoceensis
515;MGYG000001465;SRR17643508_bin.4;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003538135
516;MGYG000001384;SRR17643452_bin.16;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp900543275
517;MGYG000000746;ERR7738616_bin.62;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira sp000436535
518;MGYG000001238;SRR1761693_bin.5;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000434995
519;MGYG000000851;ERR7738624_bin.42;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp000431075
520;MGYG000001544;SRR17643924_bin.24;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei
521;MGYG000000459;ERR7738558_bin.14;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium sp004554245
522;MGYG000000089;ERR7738143_bin.65;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp934254585
523;MGYG000001266;SRR1761699_bin.28;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp900556935
524;MGYG000000528;ERR7738580_bin.69;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp900769705
525;MGYG000000137;ERR7738166_bin.38;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp900763685
526;MGYG000000788;ERR7738622_bin.12;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA4636;UBA4636 sp900764595
527;MGYG000001065;ERR7745787_bin.54;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95;CAG-95 sp900553305
528;MGYG000001254;SRR1761697_bin.18;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;Negativibacillus sp000435195
529;MGYG000000854;ERR7738624_bin.57;Bacillota_A;Clostridia;Christensenellales;UBA1242;UBA6345;UBA6345 sp934746645
530;MGYG000001557;SRR17643933_bin.7;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_A;Clostridium_A leptum
531;MGYG000000994;ERR7738937_bin.87;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UBA737;UBA737 sp900549055
532;MGYG000000618;ERR7738608_bin.123;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-390;CAG-390 sp900753295
533;MGYG000001066;ERR7745787_bin.59;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA738;UBA738 sp934511165
534;MGYG000000604;ERR7738604_bin.75;Spirochaetota;Brachyspirae;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira aalborgi
535;MGYG000000047;ERR11604943_bin.1;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor sp900554205
536;MGYG000000589;ERR7738604_bin.18;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA3282;UBA3282 sp934385475
537;MGYG000000619;ERR7738608_bin.13;Bacillota_A;Clostridia;Oscillospirales;CAG-272;CAG-272;CAG-272 sp000433515
538;MGYG000001349;SRR1761714_bin.8;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp900540235
539;MGYG000000565;ERR7738597_bin.38;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens_H
540;MGYG000001275;SRR1761701_bin.12;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium kashiwanohense_A
541;MGYG000001282;SRR1761702_bin.18;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UBA737;UBA737 sp900549755
542;MGYG000000234;ERR7738253_bin.26;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp900556535
543;MGYG000001235;SRR1761693_bin.1;Bacillota;Bacilli;RF39;UBA660;CAG-302;CAG-302 sp000431795
544;MGYG000000379;ERR7738546_bin.1;Bacillota;Bacilli;RF39;UBA660;Onthocola_B;Onthocola_B sp900544625
545;MGYG000001246;SRR1761695_bin.8;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter;Acutalibacter stercoravium
546;MGYG000000986;ERR7738937_bin.64;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola;Choladocola sp003481535
547;MGYG000000190;ERR7738196_bin.44;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Stercorousia;Stercorousia sp900556295
548;MGYG000000832;ERR7738624_bin.153;Verrucomicrobiota;Verrucomicrobiae;Opitutales;CAG-312;Merdousia;Merdousia sp900546565
549;MGYG000000752;ERR7738616_bin.76;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia sp900066075
550;MGYG000001060;ERR7745787_bin.34;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp934307695
551;MGYG000000655;ERR7738608_bin.89;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;
552;MGYG000001402;SRR17643458_bin.8;Bacillota_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis
553;MGYG000001562;SRR17643938_bin.22;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Oliverpabstia;Oliverpabstia faecicola
554;MGYG000000061;ERR11604949_bin.11;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp004556755
555;MGYG000000404;ERR7738546_bin.99;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA11774;UBA11774 sp003507655
556;MGYG000001049;ERR7745787_bin.100;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp900549705
557;MGYG000000707;ERR7738612_bin.18;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A sp900753045
558;MGYG000001074;ERR7745787_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides massiliensis
559;MGYG000000407;ERR7738547_bin.36;Bacillota_A;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp900539375
560;MGYG000000995;ERR7738937_bin.89;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus
561;MGYG000000816;ERR7738622_bin.87;Bacillota;Bacilli;RF39;UBA660;CAG-710;CAG-710 sp000432595
562;MGYG000000979;ERR7738937_bin.5;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens_Q
563;MGYG000000867;ERR7738624_bin.97;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp900553115
564;MGYG000000970;ERR7738937_bin.28;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM13006;HGM13006 sp900756575
565;MGYG000000925;ERR7738630_bin.180;Bacillota_A;Clostridia;Christensenellales;CAG-917;CAG-475;CAG-475 sp900550915
566;MGYG000000284;ERR7738353_bin.37;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp900551995
567;MGYG000001334;SRR1761712_bin.3;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella variicola
568;MGYG000000451;ERR7738553_bin.85;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-95;CAG-95 sp021628825
569;MGYG000000356;ERR7738537_bin.78;Bacillota_A;Clostridia;Oscillospirales;UBA644;UBA644;UBA644 sp900547165
570;MGYG000000797;ERR7738622_bin.152;Bacillota_A;Clostridia;TANB77;UBA1234;UBA1234;UBA1234 sp900753135
571;MGYG000000094;ERR7738143_bin.85;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C sp000433635
572;MGYG000000496;ERR7738578_bin.34;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola;Choladocola sp003480725
573;MGYG000001369;SRR1761719_bin.16;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella sp003436425
574;MGYG000000470;ERR7738558_bin.80;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter huaianensis
575;MGYG000000489;ERR7738578_bin.1;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii
576;MGYG000000761;ERR7738620_bin.30;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Lentihominibacter;Lentihominibacter faecis
577;MGYG000001117;ERR7746398_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus sp000433075
578;MGYG000000584;ERR7738604_bin.111;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;14-févr;14-2 sp012519695
579;MGYG000000186;ERR7738196_bin.3;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_D;Campylobacter_D sp900539255
580;MGYG000000940;ERR7738630_bin.47;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-452;CAG-452 sp900770415
581;MGYG000001447;SRR17643482_bin.1;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp003469185
582;MGYG000000952;ERR7738630_bin.70;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_F;Eubacterium_F sp900539115
583;MGYG000000179;ERR7738185_bin.59;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003538135
584;MGYG000000108;ERR7738158_bin.34;Bacillota;Bacilli;RF39;UBA660;CAG-533;CAG-533 sp000434495
585;MGYG000001055;ERR7745787_bin.21;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000433975
586;MGYG000000592;ERR7738604_bin.20;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E sp900556525
587;MGYG000001195;SRR1761684_bin.8;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimivicinus;Fimivicinus sp900544715
588;MGYG000000652;ERR7738608_bin.81;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E sp934490165
589;MGYG000000308;ERR7738514_bin.65;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;CAG-196;CAG-196 sp002102975
