"","cluster","phylum","class","order","family","genus","species"
"79","735_1","Bacillota_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum faecicola"
"80","739_12","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus_A"
"81","745_1","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Succinivibrionaceae","WG-1","WG-1 sp900539665"
"82","747_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp900066565"
"83","748_2","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor intestinalis"
"84","808_1","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp000432435"
"85","814_1","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E sp934476515"
"86","816_24","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E bromii_B"
"87","817_1","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E sp003526955"
"88","825_2","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E","Ruminiclostridium_E siraeum"
"89","830_23","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp900539325"
"90","837_12","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp000436835"
"91","838_1","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp004556705"
"92","844_456","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_C","Ruminococcus_C sp000433635"
"93","857_2","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_D","Ruminococcus_D bicirculans"
"94","871_12","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-217","CAG-217 sp000436335"
"95","887_1","Verrucomicrobiota","Lentisphaeria","UBA1407","UBA1407","UBA1724","UBA1724 sp900548225"
"96","895_24","Verrucomicrobiota","Kiritimatiellia","RFP12","UBA1067","RUG572","RUG572 sp900547945"
"97","904_1","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","UBA9732","UBA9732 sp001940825"
"98","935_1","Actinomycetota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis"
"99","936_45","Actinomycetota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum"
